category	domain_or_value
domains.website	*.github.com
domains.website	*.github.dev
domains.website	*.github.io
domains.website	*.githubassets.com
domains.website	*.githubusercontent.com
domains.codespaces	*.github.com
domains.codespaces	*.api.github.com
domains.codespaces	*.azureedge.net
domains.codespaces	*.github.dev
domains.codespaces	*.msecnd.net
domains.codespaces	*.visualstudio.com
domains.codespaces	*.vscode-webview.net
domains.codespaces	*.windows.net
domains.codespaces	*.microsoft.com
domains.copilot	*.github.com
domains.copilot	*.githubusercontent.com
domains.copilot	default.exp-tas.com
domains.copilot	*.githubcopilot.com
domains.packages	mavenregistryv2prod.blob.core.windows.net
domains.packages	npmregistryv2prod.blob.core.windows.net
domains.packages	nugetregistryv2prod.blob.core.windows.net
domains.packages	rubygemsregistryv2prod.blob.core.windows.net
domains.packages	npm.pkg.github.com
domains.packages	npm-proxy.pkg.github.com
domains.packages	npm-beta-proxy.pkg.github.com
domains.packages	npm-beta.pkg.github.com
domains.packages	nuget.pkg.github.com
domains.packages	rubygems.pkg.github.com
domains.packages	maven.pkg.github.com
domains.packages	docker.pkg.github.com
domains.packages	docker-proxy.pkg.github.com
domains.packages	containers.pkg.github.com
domains.packages	*.github.com
domains.packages	*.pkg.github.com
domains.packages	*.ghcr.io
domains.packages	*.githubassets.com
domains.packages	*.githubusercontent.com
domains.actions	github.com
domains.actions	*.github.com
domains.actions	*.githubapp.com
domains.actions	ghcr.io
domains.actions	objects.githubusercontent.com
domains.actions	objects-origin.githubusercontent.com
domains.actions	github-releases.githubusercontent.com
domains.actions	github-registry-files.githubusercontent.com
domains.actions	release-assets.githubusercontent.com
domains.actions	*.actions.githubusercontent.com
domains.actions	productionresultssa0.blob.core.windows.net
domains.actions	productionresultssa1.blob.core.windows.net
domains.actions	productionresultssa2.blob.core.windows.net
domains.actions	productionresultssa3.blob.core.windows.net
domains.actions	productionresultssa4.blob.core.windows.net
domains.actions	productionresultssa5.blob.core.windows.net
domains.actions	productionresultssa6.blob.core.windows.net
domains.actions	productionresultssa7.blob.core.windows.net
domains.actions	productionresultssa8.blob.core.windows.net
